Time Stamp,Ignition Advance," RPM",AuxInput," AFM (V)",DME Voltage (V)," IAT (F)"," ECT (F)",Throttle Switch," ICV (%)",Fly. Mark (Errors),Fly. RPM (Errors),Fly. Tooth (Count),Flywheel Vehicle," NBO2 (V)",NBO2 Digital," FQS"," BAP (PSI)"," MAP (PSI)"," WBO2 (AFR)"," WBO2 (Lamda)",Ign. Dwell (ms),Inj. Pulse (ms),Fuel Pump,DME Program,Codeing Plug,AC Comp.
01:14:59:112645,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:128265,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:143886,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:159505,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:175125,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:190744,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:206364,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:221986,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:237605,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:253225,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
